val_acc,test_acc,peak_memory_usage,model_size,inference_latency
0.9088863730430603,0.8955010175704956,767184,615128,271590903
0.08931383490562439,0.08302658796310425,7296,58154,133076
0.08931383490562439,0.08568507432937622,3660,635,18395
0.8773903250694275,0.8625766634941101,618200,181225,26796936
0.7349831461906433,0.696319043636322,173430,53411,4062432
0.08931383490562439,0.08568507432937622,533984,190170,54863738
0.09133858233690262,0.08282208442687988,27784,291789,9909610
0.28211474418640137,0.2934560179710388,1826,4729,20326
0.46209225058555603,0.4359918236732483,273952,30625,12775636
0.27401575446128845,0.25705522298812866,1960,4791,45900
0.08931383490562439,0.08568507432937622,88128,16880,1730260
0.6881889700889587,0.676482617855072,9310,196110,3007632
0.8665916919708252,0.8631901741027832,95944,115274,13562461
0.08931383490562439,0.08568507432937622,10152,69837,988333
0.3487064242362976,0.34171777963638306,77832,10779,2099936
0.08931383490562439,0.08568507432937622,7032,1776,144159
0.7646794319152832,0.7394682765007019,113408,149664,2692720
0.876040518283844,0.8711656332015991,118440,36826,12398820
0.4409448802471161,0.4302658438682556,3600,4160,117774
0.08931383490562439,0.08568507432937622,14212,4879,212274
0.8580427169799805,0.8617587089538574,789264,231632,411386268
0.4584926962852478,0.4584867060184479,25580,47696,999490
0.45624297857284546,0.4310838580131531,3600,861,100056
0.9082114696502686,0.9024539589881897,254768,120034,86273540
0.49538809061050415,0.49550101161003113,29360,2505,420680
0.26141732931137085,0.27137014269828796,177160,11895,386890
0.8744657039642334,0.8623721599578857,779504,493496,34078196
0.9163104891777039,0.9143149256706238,14400,80745,3306860
0.5979752540588379,0.5805726051330566,180320,407143,2707595
0.08931383490562439,0.08568507432937622,270480,26988,701629
0.08931383490562439,0.08568507432937622,66876,6271,2367748
0.3723284602165222,0.36094069480895996,2634,8777,55252
0.7676040530204773,0.7345603108406067,82080,21301,2654351
0.9014623165130615,0.8965235352516174,741664,157901,22097416
0.7786276936531067,0.7638036608695984,226424,1102918,3951020
0.926884114742279,0.9208589196205139,145684,80770,1481526
